品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,Uzone品番_純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）,部品ID1,部品ID2,特徴1,特徴2,特徴3,特徴4,特徴5,特徴6,特徴7,特徴8,特徴9,特徴10
オルタネーター,102211-700R,オルタネ-タ (G) I.C 12/65,ｽｽﾞｷ,GF-MC21S,ﾜｺﾞﾝR,3140076F00,50028701,,,,,15300,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,101211-288R,オルタ(G) I C 12/55,ｽｽﾞｷ,MC21S,ﾜｺﾞﾝR,3140076G00,50028702,,,,,9600,2年4万km保証,MAXタイプ,,リブベルト仕様です。,,1,319.0,,,,,,,,,,,
オルタネーター,101211-289R,スズキオルタ(G) I.C 12/55,ｽｽﾞｷ,MC11S,ﾜｺﾞﾝR,3140076G10,50028703,,,,,9800,2年4万km保証,MAXタイプ,,注意：こちらのモデルはベルト滑りを起こしやすいモデルです。ファンベルト摩耗、ベルト張り不足等に特に注意が必要です。オルタネーターとベルトの同時交換をオススメします。,対策前：Vベルト    対策後：リブベルト　こちらのモデルはVプーリー付でのご案内になります。,1,319.0,,,,,,,,,,,
オルタネーター,101211-361R,オルタネータ(G) I.C 12/50,ｽｽﾞｷ,HA12S,ｱﾙﾄ,3140076G40,,,,,,14200,2年4万km保証,MAXタイプ,,注意：こちらのモデルはベルト滑りを起こしやすいモデルです。ファンベルト摩耗、ベルト張り不足等に特に注意が必要です。オルタネーターとベルトの同時交換をオススメします。,メーカーより対策キットの設定があります。「発電不良」「ベルト摩耗」の症状の場合は、対策キット(リブベルト)の交換を是非お勧め下さい。,1,,,,,,,,,,,,
オルタネーター,A001TA3991R,スズキオルタネーター(G)　12/60,ｽｽﾞｷ,DA63T,ｷｬﾘｰ,3140076J00,50028704,,,,,18200,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,101211-918R,オルタネ-タ (G) I.C 12/85,ｽｽﾞｷ,TD11W,ｴｽｸｰﾄﾞ,3140077E10,,,,,,17800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,102211-515R,スズキオルタ(G) I.C 12/70,ﾏﾂﾀﾞ,L-SE48TF,ﾎﾞﾝｺﾞ,3140077E23,,,,,,17800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,102211-552R,オルタネーター(G) IC 12/70,ｽｽﾞｷ,GC41W,ｶﾙﾀｽｸﾚｾﾝﾄ,3140077E23,,,,,,17800,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,104211-266R,オルタネーター (G) SCタイプ I.C 12/70 軽,ｽｽﾞｷ,JB64W,ｼﾞﾑﾆｰ,3140077R00,50028710,,,,,17800,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,021000-813R,オルタネ-タ- (G) 12/35,ｽｽﾞｷ,SS40T,ﾏｲﾃｨﾎﾞｰｲ,3140078010,,,,,,9300,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A007TA2574R-S,スズキオルタ(G) IC 12/55,ｽｽﾞｷ,DA52V,ｴﾌﾞﾘｨ,3140078A00,,,,,,12000,1年2万km保証,シルバータイプ,,,,1,,,,,,,,,,,,
