品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）
コンプレッサー,447180-662R,コンプレッサー/クラッチ　(R)　10S17C  12V,,,,8832048060 ,8832048060 ,8841048050,8832048060,8841048050,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447180-814R,コンプレッサー/クラッチ　(R)　10S17C  12V,,,,8832048060 ,8832048060 ,8841033140,8832048060,8841033140,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447170-585R,コンプレッサー/クラッチ(R) 10S17C 12V,,,,8832048060 ,8832048060 ,8841033120,8832048060,8841033120,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-374R,コンプレッサー/クラッチ　10S17C  12V,,,,8832048040 ,8832048040 ,8841048010,8832048040,8841048010,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-512R,コンプレッサー/クラッチ　(R)　10S17C 12V,,,,8832048040 ,8832048040 ,8841044050,8832048040,8841044050,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447180-916R,コンプレッサー/クラッチ (R) SCSA06C 12V,,,,8832047050 ,8832047050 ,8841047050,8832047050,8841047050,31100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447180-917R,コンプレッサー/クラッチ　(R)　SCSA06C  12V,,,,8832047050 ,8832047050 ,8841017110,8832047050,8841017110,31100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-949R,コンプレッサー/クラッチ(R) 10PA17C 12V,,,,8832044020 ,8832044020 ,8841033090,8832044020,8841033090,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-876R,コンプレッサー／クラッチ　(R)　10PA17C  12V,,,,8832044020 ,8832044020 ,884102B190,8832044020,884102B190,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447160-062R,コンプレッサー/クラッチ(R)　10S15C　12V,,,,8832043110 ,8832043110 ,8841043060,8832043110,8841043060,31300,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447170-340R,コンプレッサー/クラッチ　(R)　10PA15L  12V,,,,8832042050 ,8832042050 ,8841044010,8832042050,8841044010,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447180-318R,コンプレッサー/クラッチ(R)10S15C 12V,,,,8832037100 ,8832037100 ,8841037120,8832037100,8841037120,31300,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447170-336R,コンプレッサー/クラッチ(R)　10P30C,ﾄﾖﾀ,,,8832036530 ,8832036530 ,8841036461,8832036530,8841036461,83200,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-959R,コンプレッサー/クラッチ(R)　10P30C,,,,8832036530 ,8832036530 ,8841036461,8832036530,8841036461,83200,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-957R,コンプレッサー/クラッチ　(R)　10P30C  24V,,,,8832036530 ,8832036530 ,8841036340,8832036530,8841036340,86500,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-269R,コンプレッサー/クラッチ(R)　10P30C,,,,8832036350 ,8832036350 ,8841036340,8832036350,8841036340,86500,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,147100-700R,コンプレッサー/クラッチ　(R)　10P15C  12V,,,,8832036290 ,8832036290 ,8841060140,8832036290,8841060140,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-440R,コンプレッサー/クラッチ　(R)　10P13C  24V,,,,8832036201 ,8832036201 ,8841036170,8832036201,8841036170,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447180-541R,コンプレッサー/クラッチ　(R)　10S17C  12V,ﾄﾖﾀ,,,8832035730 ,8832035730 ,8841035400,8832035730,8841035400,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,247100-424R,コンプレッサー/クラッチ(R) 10PA15C,,,,8832035250 ,8832035250 ,8841090P80,8832035250,8841090P80,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-595R,コンプレッサー/クラッチ　(R)　10PA15C  12V,,,,8832035250 ,8832035250 ,8841035040,8832035250,8841035040,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447190-630R,コンプレッサー/クラッチ　(R)　10S17C  12V,,,,8832033160 ,8832033160 ,8841033160,8832033160,8841033160,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447190-260R,コンプレッサー/クラッチ  (R)  10S17C  12V,,,,8832033160 ,8832033160 ,8841033140,8832033160,8841033140,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-976R,コンプレッサー/クラッチ　(R)　10S17C  12V,,,,8832033160 ,8832033160 ,8841033120,8832033160,8841033120,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447180-346R,コンプレッサー/クラッチ(R) 10S15C  12V,,,,8832032250 ,8832032250 ,8841042040,8832032250,8841042040,31300,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-535R,コンプレッサー/クラッチ　(R)　10S15L 12V,,,,8832032230 ,8832032230 ,8841032170,8832032230,8841032170,31300,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447170-536R,コンプレッサ-/クラッチ  10S15L,,,,8832032230 ,8832032230 ,8841032160,8832032230,8841032160,31300,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-635R,コンプレッサー/クラッチ(R) 10PA15L 12V,,,,8832032190 ,8832032190 ,8841032130,8832032190,8841032130,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-332R,コンプレッサー/クラッチ　(R)　10PA17C  12V,,,,8832032080 ,8832032080 ,8841032030,8832032080,8841032030,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-728R,コンプレッサ-/クラッチ(R) 10PA20H　12V,,,,8832030651 ,8832030651 ,884103A100,8832030651,884103A100,33400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-939R,コンプレッサ-/クラッチ(R) 10PA20H,,,,8832030651 ,8832030651 ,8841030710,8832030651,8841030710,33400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-401R,コンプレッサー/クラッチ(R) 10PA20C 12V,,,,8832030400 ,8832030400 ,8841030450,8832030400,8841030450,33400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,047100-889R,コンプレッサー/クラッチ　(R)　10P17VC  12V,,,,8832030360 ,8832030360 ,8841030380,8832030360,8841030380,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-597R,コンプレッサー/クラッチ(R) 10S17C 12V,,,,8832028320 ,8832028320 ,8841028180,8832028320,8841028180,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,147100-829R,コンプレッサ-/クラッチ(R) 10PA17E,,,,8832028160 ,8832028160 ,8841028100,8832028160,8841028100,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,247100-440R,コンプレッサ-/クラッチ  10PA15C,,,,8832028120 ,8832028120 ,8841028070,8832028120,8841028070,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-621R,コンプレッサ-/クラッチ  10PA15C,,,,8832028120 ,8832028120 ,8841028030,8832028120,8841028030,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-074R,コンプレッサー/クラッチ(R) 10P15C 12V,,,,8832028040 ,8832028040 ,8841014120,8832028040,8841014120,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-500R,コンプレッサー/クラッチ (R) 10P13C 12V,,,,8832027160 ,8832027160 ,8841036390,8832027160,8841036390,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,147100-878R,コンプレッサー/クラッチ(R) 10PA15C 12V,ﾄﾖﾀ,KXC10V,ﾃﾞﾘﾎﾞｰｲ,8832027100 ,8832027100 ,8841090P80,8832027100,8841090P80,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-179R,コンプレッサー/クラッチ(R) 10P15C 12V,,,,8832027060 ,8832027060 ,8841036390,8832027060,8841036390,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-245R,コンプレッサー/クラッチ(R) 10PA17C 12V,,,,8832026610 ,8832026610 ,8841035250,8832026610,8841035250,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-773R,コンプレッサー/クラッチ(R）10PA17C 12V,,,,8832026540 ,8832026540 ,8841034040,8832026540,8841034040,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-510R,コンプレッサー/クラッチ(R) 10PA17C 12V,,,,8832026490 ,8832026490 ,8841026140,8832026490,8841026140,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-434R,コンプレッサー/クラッチ　(R)　10PA15C  12V,,,,8832026480 ,8832026480 ,8841025070,8832026480,8841025070,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-770R,コンプレッサ-/クラッチ  10PA17C,,,,8832026410 ,8832026410 ,8841095J00,8832026410,8841095J00,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-614R,コンプレッサー/クラッチ　(R)　10PA15C  12V,,,,8832026290 ,8832026290 ,8841025040,8832026290,8841025040,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-525R,コンプレッサー/クラッチ　(R)　10PA17H  12V,,,,8832024120 ,8832024120 ,8841014230,8832024120,8841014230,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-877R,コンプレッサ-/クラッチ  10PA15C,,,,8832021030 ,8832021030 ,8841021020,8832021030,8841021020,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,サンデン製エアコン装着車は取付不可です。,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-524R,コンプレッサー/クラッチ　(R）10PA15VC　12V,,,,8832020630 ,8832020630 ,8841020270,8832020630,8841020270,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-201R,コンプレッサ-/クラッチ  10P15C  12V,,,,8832020500 ,8832020500 ,8841014170,8832020500,8841014170,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-696R,コンプレッサー/クラッチ　(R)　SCS06C  12V,,,,8832017110 ,8832017110 ,8841052020,8832017110,8841052020,31100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,047100-271R,コンプレッサー/クラッチ　(R)　TV14SC　12V,,,,8832016081 ,8832016081 ,8841016050,8832016081,8841016050,28600,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,047100-296R,コンプレッサー/クラッチ　(R)　TV12EC  12V,,,,8832012660 ,8832012660 ,8841016050,8832012660,8841016050,28600,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,047100-262R,コンプレッサー/クラッチ　(R)　TV14EC  12V,,,,8832012550 ,8832012550 ,8841010210,8832012550,8841010210,28600,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,047100-937R,コンプレッサー/クラッチ　(R)　10P13C  12V,,,,8832012300 ,8832012300 ,8841014110,8832012300,8841014110,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-053R,スルーベンコンプ/クラッチ TV12C 12V,,,,8832010420 ,8832010420 ,8841018010,8832010420,8841018010,28600,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-954R,コンプレッサー/クラッチ(R)　10S17C　12V,,,,8832007090 ,8832007090 ,8841033120,8832007090,8841033120,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-561R,コンプレッサー/クラッチ　(R)　10S17C  12V,,,,8832007040 ,8832007040 ,8841007020,8832007040,8841007020,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-662R,コンプレッサー/クラッチ　(R)　10S17C  12V,三菱,V75W,ﾊﾟｼﾞｪﾛ,MR500877,MR500877,MR500874,4472203630,4473008660,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447170-803R,コンプレッサー/クラッチ　(R)　10S17C  12V,三菱,V73W,ﾊﾟｼﾞｪﾛ,MR500877,MR500877,MR568290,4472203630,2473000040,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-435R,コンプレッサ-/クラッチ  10P13C 24V,三菱,V25W,ﾊﾟｼﾞｪﾛ,MR149363,MR149363,MR149368,4472007350,4473002050,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
オルタネーター,A002TG0691R,オルタネーター(G)　I.C  12/105,三菱,CS5A,ﾗﾝｻｰ,1800A002,,,,,24600,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A001TG0281R,オルタネーター(G)　I.C  12/70,三菱,CBA-HA1W,ｱｲ,1800A046,,,,,25300,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A003TG3181R,オルタネーター(G)　I.C  12/120,三菱,CW5W,ｱｳﾄﾗﾝﾀﾞｰ,1800A053,,,,,20800,2年4万km保証,MAXタイプ,,,,0
オルタネーター,A005TG0092AER,オルタネーター(G)　I.C  12/85,三菱,ABA-Z23A,ｺﾙﾄ,1800A071,,,,,17800,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A003TL0081R,オルタネーター(G)　I.C  12/130,三菱,CBA-CX4A,ｷﾞｬﾗﾝ･ﾌｫﾙﾃｨｽ,1800A155,,,,,24600,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A002TX0881AR,オルタネーター(G) I.C 12/130,三菱,CV5W,D5,1800A288,,,,,30100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A007TA2474R-S1,スズキオルタ(G) I.C 12/45,ｽｽﾞｷ,DA52T,ｷｬﾘｨﾄﾗｯｸ,1A07-18-300,,,,,13100,1年2万km保証,シルバータイプ,,,,0
オルタネーター,A007TA2574R-S1,スズキオルタ(G) IC 12/55,ｽｽﾞｷ,DB52V,ｴﾌﾞﾘｨ,1A11-18-300,,,,,12000,1年2万km保証,シルバータイプ,,,,1
オルタネーター,A007T02991R,スズキオルタ(G) I.C 12/50,ﾏﾂﾀﾞ,ABA-MJ21S,AZﾜｺﾞﾝ,1A12-18-300,,,,,20100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A001TA4091R-S1,スズキオルタ(G)　IC 12/60,ｽｽﾞｷ,DA64V,ｴﾌﾞﾘｨ,1A25-18-300,,,,,13100,1年2万km保証,シルバータイプ,,,,1
オルタネーター,A001TA4091R-S,スズキオルタ(G)　IC 12/60,ｽｽﾞｷ,DA64V,ｴﾌﾞﾘｨ,1A25-18-300,,,,,13100,1年2万km保証,シルバータイプ,,,,1
オルタネーター,A001TA4391AR,オルタネーター(G) I.C 12/60,ﾏﾂﾀﾞ,BKG-LHS85A,ﾀｲﾀﾝ,1A26-18-300A,,,,,18600,2年4万km保証,MAXタイプ,,,,1
オルタネーター,C003TA0491RL,ISG（モーター機能付オルタネーター)　純正定価￥132000,ｽｽﾞｷ,MH55S,ﾜｺﾞﾝR,1A37-18-300,,,,,66000,1年2万km保証,メーカーリンク品,,メーカーリンク品,商品に走行距離記入用紙が同梱されているので必ずコア返却時に記入してください。記入がない場合は確認のご連絡をさせて頂く場合がございます。,1
オルタネーター,LR170-746GR,オルタネ-タ-(G) I.C 12/70,ﾏﾂﾀﾞ,BVY10,ﾌｧﾐﾘｱ,1N05-18-300,,,,,18800,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A005T06891R,オルタネーター(G) IC 12/70,ﾏﾂﾀﾞ,BVFY10,ﾌｧﾐﾘｱ,1N06-18-300,,,,,17800,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR170-763R,オルタネ-タ-(G) I.C 12/70,ﾏﾂﾀﾞ,BVY11,ﾌｧﾐﾘｱ,1N11-18-300,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A003TB0681R,オルタネーター(D) IC 12/90,日産,E-HN12,ﾊﾟﾙｻ-,1N18-18-300,,,,,32300,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A002TJ0591R-S1,オルタネーター(G)　I.C 12/110,日産,Z12,ｷｭｰﾌﾞ,1N21-18-300,,,,,20100,1年2万km保証,シルバータイプ,,,,1
オルタネーター,A002TJ0591R-S,オルタネーター(G)　I.C 12/110,日産,Z12,ｷｭｰﾌﾞ,1N21-18-300,,,,,20100,1年2万km保証,シルバータイプ,,,,1
オルタネーター,LR140-130PR-VP,オルタネーター(D) 12/40,日産,E-WY30,ｸﾞﾛﾘｱ,23099-R8109,,,,,29300,2年4万km保証,MAXタイプ,バキュームポンプ付,,,1
オルタネーター,LR225-67PR-VP,オルタネ-タ-(D)IC.VP24/25,日産,E-WY30,ｸﾞﾛﾘｱ,23099-R8111,,,,,36700,2年4万km保証,MAXタイプ,バキュームポンプ付,,,1
オルタネーター,LR135-107R,オルタネーター (G) I.C 12/35,日産,N-VEU11,ﾌﾞﾙ-ﾊﾞ-ﾄﾞ,23100-01B00,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR140-132R,オルタネーター (I.C) 40A,日産,E-FN14,ﾊﾟﾙｻｰ,23100-01B05,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR150-430TR-VP,オルタネーター(D)IC.VP12/50　新品定価61400,日産,E-EN14,ﾊﾟﾙｻｰ,23100-02N16,,,,,22600,2年4万km保証,MAXタイプ,バキュームポンプ付,,,1
オルタネーター,LR150-430SR-VP,オルタネーター(D)I.C VP 12/50　新品定価61500,日産,E-N14,ﾊﾟﾙｻ-,23100-02N20,,,,,22600,2年4万km保証,MAXタイプ,バキュームポンプ付,,,1
オルタネーター,LR140-133R,オルタネーター (I.C) 40A,日産,E-FN14,ﾊﾟﾙｻｰ,23100-03B05,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR225-414TR-VP,オルタネ-タ-(D)IC.VP24/25,日産,E-EN14,ﾊﾟﾙｻｰ,23100-03T03,,,,,28800,2年4万km保証,MAXタイプ,バキュームポンプ付,,,1
オルタネーター,LR235-405TR-VP,オルタネーター(D)IC VP 24/35,日産,E-U13,ﾌﾞﾙｰﾊﾞｰﾄﾞ,23100-03T04,,,,,38000,2年4万km保証,MAXタイプ,バキュームポンプ付,,,1
オルタネーター,A002T73586R-VP,"オルタネ-タ(D)IC,VP 24/25　新品定価88000",日産,E-A32,ｾﾌｨｰﾛ,23100-04D00,,,,,30200,2年4万km保証,MAXタイプ,バキュームポンプ付,,,1
オルタネーター,LR160-124R,"オルタネーター(G) I,C 12/60",日産,GF-EN15,ﾊﾟﾙｻ-,23100-04M00,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A002T40971R,オルタネーター(G) I.C 12/60,日産,R-VFGY10,AD,23100-04M10,,,,,16400,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR160-702BR,オルタネ-タ-(G) I.C 12/60,日産,GF-EN15,ﾊﾟﾙｻ-,23100-04P01,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR160-702R,オルタネ-タ-(G) I.C 12/60,日産,WY30,ｸﾞﾛﾘｱ,23100-04P02,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A003T35278AR-VP,"オルタネーター(D)IC,VP12/60",日産,E-HNP10,ﾌﾟﾘﾒｰﾗ,23100-05E18,,,,,35200,2年4万km保証,MAXタイプ,バキュームポンプ付,,,1
オルタネーター,LR160-113R,オルタネーター(G)I.C 12/60,日産,E-PNW10,ｱﾍﾞﾆｰﾙ,23100-06S00,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR165-708CR,オルタネーター(G) IC 12/65,日産,VY10,AD,23100-0E700,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR165-708ER,オルタネーター(G) IC 12/65,日産,KD-SNU13,ﾌﾞﾙ-ﾊﾞ-ﾄﾞ,23100-0E701,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR170-738CR,オルタネーター(G) IC 12/70,日産,R10,ﾌﾟﾚｾｱ,23100-0E705,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR170-738ER,オルタネーター(G) IC 12/70,日産,E-PY32,ｸﾞﾛﾘｱ,23100-0E706,,,,,22100,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A005T04492AR,オルタネーター(G) I.C 12/65,日産,E-PY32,ｸﾞﾛﾘｱ,23100-0E711,,,,,16400,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A005T04492BR,オルタネーター(G) IC 12/65,日産,E-PY32,ｸﾞﾛﾘｱ,23100-0E712,,,,,16400,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A005T04392AR,オルタネーター(G) I.C 12/70,日産,E-JPY32,ﾚﾊﾟｰﾄﾞ,23100-0E716,,,,,17800,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A005T07391R,オルタネ-タ-(G) I.C 12/70,日産,E-PBY32,ｸﾞﾛﾘｱ,23100-0E718,,,,,17800,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR1100-711BR,オルタネーター(G) IC 12/100,日産,E-PAY32,ｾﾄﾞﾘｯｸ,23100-0L700,,,,,30300,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR170-746GR-S,オルタネ-タ-(G) I.C 12/70,日産,FB14,ｻﾆｰ,23100-0M005,,,,,10800,1年2万km保証,シルバータイプ,,,,1
オルタネーター,LR180-741R,オルタネータ(G)I.C 12/80,日産,E-FHK11,ﾏｰﾁ,23100-0M800,,,,,23500,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A002T82491R,オルタネーター(G)I.C 12/80,日産,E-BCNR33,ｽｶｲﾗｲﾝ,23100-0M810,,,,,17800,2年4万km保証,MAXタイプ,,,,1
オルタネーター,A002T82491BR,オルタネーター(G)I.C 12/80,日産,E-ENY33,ｸﾞﾛﾘｱ,23100-0M811,,,,,17800,2年4万km保証,MAXタイプ,,,,1
オルタネーター,LR170-504BR-VP,オルタネーター(D)IC VP 12/70　新品定価75800,日産,GF-HK30,ｸﾙ-,23100-0M901,,,,,22600,2年4万km保証,MAXタイプ,バキュームポンプ付,,,1
